edge_name,weight
הָלָא (-) תיִרְּב,2
לֹושְכִמ (-) ןֹוָע,2
רּורָא (-) םָלֹוע,1
אָּב (-) תיִרְּב,2
םֹוי (-) הָלָשְמֶמ,1
םֹוי (-) לָעָיִלְּב,1
הָעֵּד (-) שיִא,1
תִיַּב (-) דָמֲעַמ,2
דַחַי (-) לֵא,1
הָצֵע (-) םָלֹוע,1
םֹוקָמ (-) לָרֹוּג,1
דַחַי (-) תֶמֱא,2
הָוָנֲע (-) בֹוט,1
הָבֲהַא (-) דֶסֶח,5
הָבָשֲחַמ (-) קֶדֶצ,1
הָצֵע (-) שֶדֹק,3
ןֵּב (-) דֹוס,1
ןֵּב (-) םָלֹוע,1
רֹוּסִי (-) תַעַּד,1
טָּפְשִמ (-) קֶדֶצ,8
הָצֵע (-) דַחַי,19
ןֹואָס (-) עַשֶר,1
רֹותָמ (-) תּוריִרְש,1
רֹותָמ (-) בֵל,1
ְךֶרֶּד (-) רֹוא,2
ןִיַע (-) םיִמָּת,1
םִיַמ (-) הָּדִנ,3
םִיַמ (-) ץַחַר,1
םֹוי (-) סֹאְמ,1
טָּפְשִמ (-) לֵא,3
דַחַי (-) הָצֵע,1
ַחּור (-) הצע,1
ַחּור (-) תֶמֱא,4
ַחּור (-) לֵא,1
ְךֶרֶּד (-) שיִא,1
רֹוא (-) םיִּיַח,1
חּור (-) רֶשֹי,1
חּור (-) הָוָנֲע,1
הָוָנֲע (-) שֶפֶנ,1
םִיַמ (-) יִכֹוּד,1
ְךֶרֶּד (-) לֵא,1
רּוּפִּכ (-) חֹוחינ,1
תיִרְּב (-) דַחַי,2
תֹודְלֹוּת (-) ןֵּב,2
תֹודְלֹוּת (-) שיִא,2
ןיִמ (-) ַחּור,1
הָּדֻקְּפ (-) עַגֶנ,1
ץֵק (-) םֹולָש,3
לֵא (-) הָעֵּד,5
הָבָשֲחַמ (-) דֹובָּכ,1
טָּפְשִמ (-) לֹּכ,3
הָלָשְמֶמ (-) לֵבֵּת,1
דֵעֹומ (-) הָּדֻּקְּפ,1
ַחּור (-) לֶוָע,2
ןֹועָמ (-) רֹוא,1
תֹודְלֹוּת (-) תֶמֱא,1
רֹוקָמ (-) ְךֶשֹח,1
תֹודְלֹוּת (-) לֶוָע,1
דָי (-) רַש,1
דָי (-) רֹוא,1
הָלָשְמֶמ (-) ןֵּב,2
הָלָשְמֶמ (-) קֶדֶצ,1
דָי (-) ְךָאְלַמ,2
דָי (-) ְךֶשֹח,1
הָלָשְמֶמ (-) לֶוָע,1
ְךֶרֶּד (-) ְךֶשֹח,2
ְךָאְלַמ (-) ְךֶשֹח,1
תּועָּת (-) ןֵּב,1
תּועָּת (-) קֶדֶצ,1
ןֵּב (-) קֶדֶצ,1
עַשֶּפ (-) הֶשֲעַמ,1
זָר (-) לֵא,1
דֵעֹומ (-) הָרָצ,1
הָלָשְמֶמ (-) הָמֵטְשַמ,1
ַחּור (-) לָרֹוּג,1
לֵא (-) לֵאָרְשִי,1
ְךָאְלַמ (-) תֶמֱא,1
ַחּור (-) רֹוא,1
ַחּור (-) ְךֶשֹח,1
דֵע (-) םָלֹוע,1
בֵל (-) שיִא,1
ְךֶרֶּד (-) קֶדֶצ,1
ְךֶרֶּד (-) תֶמֱא,4
ַחּור (-) הָוָנֲע,1
ְךֶרֹא (-) ףַא,1
בֹר (-) םיִמֲחַר,4
בֹוט (-) םָלֹוע,1
הָמְכָח (-) הָרּובְּג,1
הֶשֲעַמ (-) לֵא,2
בֹר (-) דֶסֶח,5
ַחּור (-) תַעַּד,1
הָבָשֲחַמ (-) הֶשֲעַמ,1
הָאְנִק (-) קֶדֶצ,1
הָבָשֲחַמ (-) שֶדֹק,2
ןֵּב (-) תֶמֱא,10
הָרֳהָט (-) דֹובָּכ,1
לּולִּג (-) הָּדִנ,1
הָמְרָע (-) לֹּכ,1
זָר (-) תַעַּד,1
דֹוס (-) ַחּור,2
בֹר (-) םֹולָש,1
ְךֶרֹא (-) םֹוי,4
הָכָרְּב (-) דַע,1
הָחְמִש (-) םָלֹוע,4
םיִּיַח (-) חצֶַנ,1
ליִלָּכ (-) דֹובָּכ,1
הָּדִמ (-) רָדָה,1
רֹוא (-) םָלֹוע,3
בֹוחְר (-) שֶפֶנ,1
הָדֹובֲע (-) קֶדֶצ,2
םּור (-) בָבֵל,1
בֹר (-) ףֶנֹח,1
רּוצָק (-) ףַא,1
בֹר (-) תֶלֶּוִא,1
הָאְנִק (-) ןֹודָז,1
הֶשֲעַמ (-) הָבֵעֹוּת,1
ַחּור (-) תּונְז,1
ְךֶרֶּד (-) הָּדִנ,1
הָדֹובֲע (-) הָאְמֻט,1
ןֹושָל (-) ףּוּדִּג,1
ןֹורָּוִע (-) ןִיַע,1
דֹובָּכ (-) ןֶזֹא,1
יִשֹק (-) ףֶרֹע,2
דּוּביִּכ (-) בֵל,1
הָמְרָע (-) ַעֹר,1
בֹר (-) עַגֶנ,1
דָי (-) לֶבֶח,1
תַחַש (-) םָלֹוע,3
ףַא (-) הָרְבֶע,2
הָוֲעַז (-) חַצֶנ,1
הָּפְרֶח (-) דַע,1
הָּמִלְּכ (-) הָלָּכ,1
שֵא (-) ְךָשְחַמ,1
לֶבֵא (-) ןֹוגָי,2
הָעָר (-) רֹורָמ,1
הָיָוֲה (-) ְךֶשֹח,1
הָּלֻעְּפ (-) הֶשֲעַמ,2
ץֵק (-) םָלֹוע,3
הָביֵא (-) םָלֹוע,1
הָבֵעֹוּת (-) תֶמֱא,1
הָבֵעֹוּת (-) הָלְוַע,1
הָאְנִק (-) ביִר,1
זָר (-) לֶכֶש,3
הָמְכָח (-) דֹובָּכ,1
דֵעֹומ (-) הָּדֻקְּפ,1
חַצֶנ (-) תֶמֱא,1
חַצֶנ (-) לֶבֵּת,1
ְךֶרֶּד (-) עַשֶר,1
הָלָשְמֶמ (-) הָלְוַע,1
דֵעֹומ (-) טָּפְשִמ,1
הֶשֲעַמ (-) רֶבֶּג,1
ןֵּב (-) שיִא,3
ַחּור (-) הָלְוַע,2
םיִמָכְּת (-) רָשָּב,1
ַחּור (-) שֶדֹק,12
הָליִלֲע (-) הָעְשִר,2
הָבֵעֹוּת (-) רֶקֶש,1
ַחּור (-) הָּדִנ,1
תַעַּד (-) ןֹויְלֶע,1
הָמְכָח (-) ןֵּב,1
הָמְכָח (-) םִיַמָש,1
םיִמָּת (-) ְךֶרֶּד,5
תיִרְּב (-) םָלֹוע,1
דֹובָּכ (-) םָדָא,2
הֶשֲעַמ (-) הָּיִמְר,2
בָבֵל (-) רֶבֶּג,1
הָלֲחַנ (-) שיִא,1
לָרֹוּג (-) לֶוָע,1
ץֵק (-) דֵעֹומ,1
שיִא (-) דַחַי,9
הָדֵע (-) שיִא,1
הָדֵע (-) לֶוָע,1
ןֵּב (-) קֹודָצ,5
רֵמֹש (-) תיִרְּב,1
בֹר (-) שיִא,3
בֹר (-) דַחַי,1
ןּוּכִּת (-) לָרֹוּג,1
תּורִרְש (-) בֵל,5
הָבָשֲחַמ (-) רֶצֶי,1
הָלְרָע (-) רֶצֶי,2
דָסֹומ (-) תֶמֱא,2
דַחַי (-) תיִרְּב,1
תִיַּב (-) תֶמֱא,1
רֵבֹע (-) קֹח,1
ןּוּכִּת (-) ְךֶרֶּד,1
תיִרְּב (-) לֵא,2
ןִיַע (-) בֵּדַנְתִמ,1
הָעּובְש (-) רָּסִא,1
הָרֹוּת (-) הֶשֹמ,2
רֶמֹש (-) תיִרְּב,1
שֵרֹּד (-) ןֹוצָר,1
בֹר (-) תיִרְּב,1
שיִא (-) לֶוָע,3
ְךֶרֶּד (-) הָעְשִר,1
הָרֳהָט (-) שיִא,2
הָרֳהָט (-) שֶדֹק,2
רֵבֹע (-) רָבָּד,1
ןֹוָע (-) הָמְשַא,1
רָבָּד (-) רֶקֶש,1
שיִא (-) שֶדֹק,4
הֶשֲעַמ (-) לֶבֶה,1
ץֵאַנְמ (-) רָבָּד,1
הָדֵע (-) שֶדֹק,4
ןֵּב (-) ןֹרֲהַא,4
שיִא (-) ןֵהֹּכ,1
תיִשאֵר (-) םֶחֶל,4
תיִשאֵר (-) שֹוריִּת,2
הָלְיַל (-) הָנָש,1
בָשֹומ (-) בַר,5
רָבָּד (-) ַעֵר,2
ץֶפֵח (-) בַר,1
דָמֲעַמ (-) שיִא,1
שאֹר (-) בַר,1
טָּפְשִמ (-) דַחַי,1
הָצֵע (-) בַר,1
הָרֳהָט (-) בַר,5
ןֹוה (-) בַר,1
דֹוס (-) דַחַי,1
שיִא (-) תיִרְּב,1
דָי (-) שיִא,1
הָכאָלְמ (-) בַר,1
הֶקְשַמ (-) בַר,1
ְךֶרֶס (-) ןּוּכִּת,1
שָרְדִמ (-) דַחַי,1
רֶצֹק (-) ףַא,1
דֹוסֶי (-) תיִמָע,1
הֶּפ (-) ַעֵר,1
ןֹוה (-) דַחַי,1
דֹוסְי (-) דַחַי,2
הֶשֹע (-) טָּפְשִמ,1
הָרָצ (-) ףֵרְצַמ,1
הָּדִמ (-) תֶמֱא,1
ןּוּכִּת (-) תֵע,4
תַעַּטַמ (-) םָלֹוע,2
תִיַּב (-) שֶדֹק,2
דֹוס (-) שֶדֹק,2
דֵע (-) תֶמֱא,1
ריִחָּב (-) ןֹוצָר,1
הָמֹוח (-) ןַחֹּב,2
הָנִּפ (-) רָקָי,1
ןֹועָמ (-) שֶדֹק,4
תַעַד (-) לֹּכ,1
תיִרְּב (-) טָּפְשִמ,1
ַחיֵר (-) ַחֹוחיִנ,1
תִיַּב (-) םיִמָּת,1
הָּקֻח (-) םָלֹוע,1
הָצֵע (-) שיִא,1
הָאְרִי (-) ַחּור,1
בָשֹומ (-) שיִא,2
בָשֹומ (-) לֶוָע,1
שָרְדִמ (-) הָרֹוּת,1
שיִא (-) םיִמָּת,1
דַחַי (-) שֶדֹק,1
םיִמָּת (-) הָצֵע,1
דֹוסְי (-) ַחּור,1
דֹוסְי (-) שֶדֹק,2
תֶמֱא (-) םָלֹוע,1
הָמְשַא (-) עַשֶּפ,1
לַעַמ (-) תאַּטַח,1
רָשָּב (-) הָלֹע,1
בֶלֵח (-) חַבֶז,1
הָמּורְּת (-) הָפָש,3
ַחֹוחיִנ (-) קֶדֶצ,1
הָבָדְנ (-) הָחְנִמ,1
הָבָדְנ (-) ןֹוצָר,1
שֶדֹק (-) שֶדֹק,2
תִיַּב (-) דַחַי,1
ןּוּכִּת (-) שיִא,1
ןּוּכִּת (-) דַחַי,1
ןֹוה (-) שיִא,1
ןֹוה (-) שֶדֹק,1
שיִא (-) הָּיִמְר,3
הָצֵע (-) הָרֹוּת,2
ַחיִשָמ (-) ןֹרֲהַא,1
ַחיִשָמ (-) לֵאָרְשִי,3
לָקְשִמ (-) שיִא,2
ןֹוצָר (-) לֵא,2
קֹח (-) תֵע,1
ריִחָּב (-) תֵע,1
רֹוּב (-) ףַּכ,1
שיִא (-) תָחָש,1
תַעַּד (-) תֶמֱא,2
ריִחָּב (-) ְךֶרֶּד,1
זָר (-) אֶלֶּפ,11
ןּוּכִּת (-) ְךֶרֶּד,1
הָאְנִש (-) םָלֹוע,1
שיִא (-) תַחַש,1
ַחּור (-) רֶתֵס,1
לָמָע (-) ףַּכ,1
םֹוי (-) םָקָנ,2
ַחֹולְשִמ (-) ףַּכ,1
רֶמֵא (-) הֶּפ,1
שאֹר (-) הָלָשְמֶמ,1
שאֹר (-) רֹוא,1
ןֹועָמ (-) קֹח,1
תיִשאֵר (-) רּומְשַא,1
תיִשאֵר (-) ְךֶשֹח,2
לֻבְז (-) שֶדֹק,2
ןֹועָמ (-) דֹובָּכ,2
אֹובָמ (-) דֵעֹומ,1
םֹוי (-) שֶדֹח,1
חָּתְפִמ (-) דֶסֶח,1
שאֹר (-) דֵעֹומ,1
תיִשאֵר (-) ַחֵרָי,1
םֹוי (-) שֶדֹק,1
שאֹר (-) הָנָש,1
הָפּוקְּת (-) דֵעֹומ,2
קֹח (-) ןּוּכִּת,1
םֹוי (-) טָּפְשִמ,2
דֵעֹומ (-) ריִצָק,1
דֵעֹומ (-) עַרֶז,1
דֵעֹומ (-) אֶשֶּד,1
דֵעֹומ (-) הָנָש,1
שאֹר (-) ַעּובָש,1
דֵעֹומ (-) רֹורְּד,1
יִרְּפ (-) הָּלִהְּת,1
הָנָמ (-) הָפָש,1
דֹובָּכ (-) לֵא,1
רֹוּנִּכ (-) לֶבֵנ,1
ןּוּכִּת (-) שֶדֹק,1
ליִלָח (-) הָפָש,1
וַק (-) טָּפְשִמ,2
אֹובָמ (-) םֹוי,1
אֹובָמ (-) הָלְיַל,1
אָצֹומ (-) בֶרֶע,1
אָצֹומ (-) רֶקֹּב,1
בּוט (-) רֹוקָמ,1
בּוט (-) תַעַּד,1
םּור (-) דֹובָּכ,1
הָרּובְּג (-) לֹּכ,1
תֶרֶאְפִּת (-) םָלֹוע,1
תיִשאֵר (-) ַחֹולְשִמ,1
תיִשאֵר (-) דָי,1
לֶגֶר (-) ְךֵרְבַא,1
בָּכְשִמ (-) ַעּוצְי,1
הָמּורְּת (-) אָצֹומ,1
תֶכֶרֲעַמ (-) שיִא,1
ןֶדֶע (-) הָבּונְּת,1
ןֶדֶע (-) לֶבֵּת,1
תיִשאֵר (-) דַחַּפ,1
תיִשאֵר (-) הָמיֵא,1
ןֹוכָמ (-) הָרָצ,1
טָּפְשִמ (-) יַח,1
ַחּור (-) הָעְשִר,2
ןֹוה (-) סָמָָח,1
ביִר (-) שיִא,1
ביִר (-) תַחַש,1
שיִא (-) הָלְוַע,1
בָש (-) עַשֶּפ,4
רֵרֹס (-) ְךֶרֶּד,1
שַחַּכ (-) ןֶוָע,1
יִרְּפ (-) שֶדֹק,1
תַעַּד (-) בֵל,1
הָצֵע (-) הָּיִשּוּת,1
הָמְרָע (-) תַעַּד,1
טָּפְשִמ (-) זֹע,1
וַק (-) תֵע,1
הֶעֹּת (-) ַחּור,1
הֶעֹּת (-) הָניִּב,1
םָר (-) ַחּור,1
שיִא (-) הֶּטַמ,1
חֵלֹש (-) עַּבְצֶא,1
רֵּבַדְמ (-) ןֶוָא,1
הֶנְקַמ (-) ןֹוה,1
רושי (-) בָבֵל,1
רֹוקָמ (-) תַעַּד,3
הָרֹוא (-) בָבֵל,1
זָר (-) הֶיְהִנ,3
ןָעְשִמ (-) ןיִמָי,1
עַלֶס (-) זֹע,2
ְךֶרֶּד (-) םַעַּפ,1
תֶמֱא (-) לֵא,1
עַלֶס (-) םַעַּפ,1
תֶנֶעְשִמ (-) ןיִמָי,1
רֹוקָמ (-) הָקָדְצ,2
טָּפְשִמ (-) רֹוא,1
הָּמִזְמ (-) הָמְרָע,1
ןֵּב (-) םָדָא,10
הֶוְקִמ (-) הָרּובְּג,1
ןָיְעַמ (-) דֹובָּכ,1
דֹוס (-) רָשָּב,2
הָּזֻחֲא (-) םָלֹוע,2
לָרֹוג (-) שֶדֹק,1
ןֵּב (-) םִיַמָש,4
דֹוס (-) תיִנְבַמ,1
ץֵק (-) הֶיְהִנ,1
םָדָא (-) הָעְשִר,1
דֹוס (-) לֶוָע,1
היוענ (-) בָבֵל,2
דֹוס (-) הָּמִר,1
דֶסֶח (-) לֵא,1
ןֹוָע (-) רָשָּב,1
הָקָדְצ (-) תֶמֱא,1
הָּדִנ (-) שֹונֱא,1
תאַּטַח (-) ןֵּב,1
תאַּטַח (-) םָדָא,1
בֵל (-) דֶבֶע,2
ריִחָּב (-) םָדָא,1
קֶמֶע (-) זָר,1
חֹּכ (-) הָרּובְּג,2
הֶשֲעַמ (-) אֶלֶּפ,4
םֶחֶל (-) הָּמִר,1
הָדֵע (-) לֵאָרְשִי,2
תיִרֲחַא (-) םֹוי,1
טָּפְשִמ (-) ןֵּב,1
טָּפְשִמ (-) קֹודָצ,1
שֹונֱא (-) תיִרְּב,2
ְךֶרֶּד (-) םַע,1
שֹונֱא (-) הָצֵע,1
קֹח (-) תיִרְּב,3
אָבָצ (-) הָדֵע,1
רֶפֵס (-) יּוגָה,1
ןֵּב (-) םיִרְשֶע,2
ןֵּב (-) הָנָש,2
בָּכְשִמ (-) רָכָז,1
טָּפְשִמ (-) הָרֹוּת,1
עמשמ (-) טָּפְשִמ,1
ןֵּב (-) שֵמָח,1
דֹוסְי (-) הָדֵע,1
הָדֹובֲע (-) הָדֵע,2
ןֵּב (-) םיִשֹולְש,1
שאֹר (-) לֵאָרְשִי,2
רַש (-) הָאֵמ,1
רַש (-) םיִּשִמֲח,1
שאֹר (-) בָא,5
שאֹר (-) הָדֵע,5
הָדֹובֲע (-) הֶשֲעַמ,1
שיִא (-) יִתֶּפ,1
ביִר (-) טָּפְשִמ,1
ְךֶרֶס (-) אָבָצ,1
הָדֹובֲע (-) סַמ,1
ןֵּב (-) יִוֵל,1
רָּפְסִמ (-) אָבָצ,1
הָדּועְּת (-) הָמָחְלִמ,1
שֹונֱא (-) לִיַח,1
רַש (-) ףֶלֶא,1
תֶקֹלְחַמ (-) הָדֹובֲע,1
שֹונֱא (-) םֵש,2
איִרָק (-) דֵעֹומ,1
הָדֵע (-) שֹונֱא,1
הָדֵע (-) םֵש,1
ְךָאְלַמ (-) שֶדֹק,3
הָצֵע (-) שֵדֹק,1
בָשֹומ (-) םֵש,1
ןָחְלֻש (-) דַחַי,1
הָדֵע (-) דַחַי,1
הָנָש (-) םָלֹוע,2
הָלְפִש (-) הָּדִמ,1
עַגֶנ (-) ןֵּב,1
עַגֶנ (-) םָדָא,1
טָּפְשִמ (-) ץֵק,1
הָבָשֲחַמ (-) הָעְשִר,2
דָסֹומ (-) רַה,1
הֶנֲעַמ (-) ןֹושָל,6
ְךֹרָא (-) ףַא,3
הֶשֲעַמ (-) ןיִמָי,1
רָבָּד (-) ןֹוצָר,2
ַחּור (-) רָשָּב,5
תיִרְּב (-) םָדָא,1
םָלֹוע (-) דֵע,2
ַחֹּכ (-) הָרּובְּג,2
רֶקֵח (-) לֹּכ,1
זָר (-) הָבָשֲחַמ,1
םֶדֶק (-) םָלֹוע,2
הֶשֲעַמ (-) עַר,1
דֶסֶח (-) םָלֹוע,2
דֹובָּכ (-) םָלֹוע,2
הָחְמִש (-) דֵע,1
אָבָצ (-) ַחּור,2
ַעיִקָר (-) שֶדֹק,1
הָּדֻקְּפ (-) דַע,1
הֶשֲעַמ (-) הָלְוַע,3
םֹוי (-) םֶדֶק,1
היהנ (-) םָלֹוע,1
םָלֹוע (-) דַע,4
דּולָי (-) הָּשִא,1
הֶנְבִמ (-) רָפָע,1
לָּבְגִמ (-) םִיַמ,3
הָוְרֶע (-) ןֹולָק,2
שיִא (-) תֶמֱא,1
שֵּקַבְמ (-) הָניִּב,1
בֵהֹא (-) םיִמֲחַר,1
וָנָע (-) ַחּור,1
קָּקֻזְמ (-) יִנָע,1
רּורָּב (-) ףֵרְצַמ,1
רֹוּד (-) םָלֹוע,2
שיִא (-) ןֹוזָח,1
הָליִלֲע (-) עַשֶר,1
םֵש (-) שֶדֹק,1
לֵעֹּפ (-) עַשֶר,1
ןִיַע (-) הֶשֲעַמ,2
בֹר (-) בּוט,4
שיִא (-) ֹדֹוס,1
דֹוס (-) תֶמֱא,13
לֹודָּג (-) חֹּכ,1
ןֹוָע (-) עַשֶר,1
ַחּור (-) הָעֵּד,1
ְךֶרֶּד (-) הָלְוַע,1
ףָנָּכ (-) ַחּור,1
דָי (-) רָשָּב,1
דֵעֹומ (-) ןֹוצָר,1
ןֹומָה (-) םיִמֲחַר,7
הָרָצ (-) שֶפֶנ,3
הָעּושְי (-) םָלֹוע,1
םֹולָש (-) דַע,2
רָשָּב (-) דֹובָּכ,1
םֹוי (-) הָגֵרֲה,1
ְךֶרֶּד (-) יַח,1
רֹוקָמ (-) ןֶוָא,1
הֶּפ (-) לֹּכ,2
ַחּור (-) ףֶרֹע,1
אֹלְמ (-) םִיַמָש,1
אֹלְמ (-) ץֶרֶא,1
דָמֲעַמ (-) קֶדֶצ,1
בַר (-) הָּיִליִלֲע,1
ַחּור (-) םיִמֲחַר,1
ַחּור (-) קיִדָצ,1
שֶפֶנ (-) דֶבֶע,4
לֹודָּג (-) דֶסֶח,2
דָמֲעַמ (-) ןֹוצָר,1
רֵמֹש (-) הָוְצִמ,2
ַחּור (-) דֶבֶע,1
עַגֶנ (-) לֹושְכִמ,1
ןָיְעַמ (-) הָרּובְּג,1
לֹודָּג (-) הָצֵע,1
ַחּור (-) זֹע,1
ַחּור (-) םָלֹוע,1
רָצֹוא (-) הָבָשֲחַמ,1
ַחּור (-) םָדָא,1
םֹוי (-) םָלֹוע,1
רֹוּד (-) חַצֶנ,2
הָּדֻקְּפ (-) םֹולָש,1
רָּפְסִמ (-) רֹוד,1
רָּפְסִמ (-) םָלֹוע,1
הָמְכָח (-) תַעַד,1
רֶצֵי (-) רָמֵח,11
דֹוס (-) הָוְרֶע,1
רֹוקָמ (-) הָּדִנ,2
רּוּכ (-) ןֶוָע,1
הֶנְבִמ (-) הָאָּטַח,1
ַחּור (-) הָעֹוּת,1
תֶרֶח (-) ןֹורָּכִז,1
ץֵק (-) חַצֶנ,1
הָפּוקְּת (-) רָּפְסִמ,1
הָפּוקְּת (-) הָנָש,1
הָפּוקְּת (-) םלָֹוע,1
הֶשֲעַמ (-) הָקָדְצ,2
הָדֹובֲע (-) ןֹוָע,1
יִרְּפ (-) הָפָש,1
עָּבַמ (-) ַחּור,2
עָּבַמ (-) הָפָש,1
ַחּור (-) שֹונֱא,1
בֹר (-) ןֶוָע,1
טָּפְשִמ (-) עַגֶנ,3
ןֵּב (-) שֹונֱא,1
ַחיִש (-) תַעַד,1
רֶצֶי (-) ְךּומָס,1
ליִוֱא (-) בֵל,5
ַחיִכֹומ (-) תֶמֱא,2
ץַחַמ (-) הָּכַמ,1
ַעיִמְשַמ (-) הָחְמִש,1
לֹורָע (-) הָפָש,2
ץֶמֹא (-) חֹּכ,1
לּובְּג (-) הָעְשִר,2
רֶצֵי (-) ְךּומָס,2
רָהְמִנ (-) בֵל,1
דֹוס (-) הָניִּב,1
רָשָי (-) ְךֶרֶּד,1
ןֹוָע (-) עָשָר,1
הָפָש (-) ץיִרָע,1
הָּלִהְק (-) עַשֶר,1
לֹושְחַנ (-) םָי,1
ריִחָּב (-) קֶדֶצ,1
ץיִלֵמ (-) תַעַּד,1
בֵהֹא (-) רָסּומ,1
שיִא (-) ביִר,1
ץיִלֵמ (-) תּועָּת,1
הֵזֹוח (-) הָחֹכְנ,1
ַחּור (-) הָאְנִק,1
שֵרֹּד (-) הָקְלֶח,1
לֹוק (-) ןֹומָה,2
לֹוק (-) םִיַמ,1
הָּמִזְמ (-) לָעָיִלְּב,1
םיִּיַח (-) רֶבֶּג,1
רֹורְצ (-) םיִּיַח,1
שְקֹומ (-) תַחַש,1
דֹוס (-) אְוַש,1
הָדֵע (-) לָעָיִלְּב,1
טָּפְשִמ (-) עָשָר,1
יִלְּכ (-) הָמָחְלִמ,3
בֹוהְל (-) תיִנֲח,1
ןֹומָה (-) םִּיַמ,1
ןֹואָש (-) לֹוק,1
הָאְנִק (-) ץיִלֵמ,1
הָאְנִק (-) בָזָּכ,1
הָדֵע (-) שֵרֹּד,1
הָדֵע (-) הָקְלֶח,1
שֵרֹּד (-) הָּיִמְר,1
שֶפֶנ (-) יִנָע,3
שֶפֶנ (-) שָר,2
דָי (-) קָזָח,1
דַחַּפ (-) הָוֹה,1
דַחַּפ (-) עָשָר,1
הָלֹוצְמ (-) םָי,1
ריִע (-) רָצְבִמ,1
הָּשִא (-) הָדֵל,1
לֶבֶח (-) ץָרְמִנ,1
רּוּכ (-) הָּיִרָה,3
רֵּבְשַמ (-) תֶוָמ,3
הָּיִרָה (-) רֶבֶּג,1
לֶבֶח (-) לֹואְש,1
לֶבֶח (-) ץֶרֶמ,1
הָּיִרָה (-) הָעְפֶא,1
רֵּבְשַמ (-) תַחַש,1
הֶשֲעַמ (-) תּוצָּלַּפ,1
שֹוא (-) ריִק,1
בֵשֹי (-) רָפָע,1
דֵרֹי (-) םָי,1
ןֹומָה (-) םִיַמ,1
ְךֹובָנ (-) םִיַמ,1
רֵּבְשַמ (-) םִיַמ,1
ןֹומָה (-) לֹוק,2
הֶשֲעַמ (-) הָעְפֶא,1
תֶלֶּד (-) תַחַש,1
הָּיִרָה (-) לֶוָע,1
ַחיִרָּב (-) םָלֹוע,1
ַחּור (-) הָעְפֶא,1
םּור (-) םָלֹוע,1
דֹוס (-) םָלֹוע,2
אָבָצ (-) שֹודָק,2
הָדֵע (-) ןֵּב,1
הָדֵע (-) םִיַמָש,1
לָרֹוּג (-) םָלֹוע,1
ַחּור (-) תַעַד,1
שֶפֶנ (-) ןֹויְבֶא,2
הָמּוהְמ (-) בַר,1
הָוֹה (-) הָבֵהְדַמ,1
חַּפ (-) תַחַש,1
הָדּוצְמ (-) הָעְשִר,1
תֶרֹמְכִמ (-) הָכְלֵח,1
לָרֹוּג (-) ףַא,1
ְךָּתַמ (-) הָמֵח,1
ץֵק (-) ןֹורָח,2
לֶבֶח (-) תֶוָמ,1
לַחַנ (-) לָעָיִלְּב,2
ףַגֲא (-) םּור,1
ביִבָש (-) בֹוהָל,1
שֹוא (-) רָמֵח,1
ַעֻּקִר (-) הָשָּבַי,1
דֹוסְי (-) רַה,1
לַחַנ (-) תֶפֶז,1
ְךֵּשַחְמ (-) םֹוהְּת,1
שֵרֹּג (-) שֶפֶר,1
שֵרֹּג (-) ץֶרֶא,1
ןֹומָה (-) ַחֹּכ,1
תֶמֱא (-) דֹובָּכ,1
אָבָצ (-) םִיַמָש,2
שֹוא (-) םָלֹוע,2
הָמָחְלִמ (-) רֹוּבִּג,1
הָמָחְלִמ (-) םִיַמָש,1
